,Catalytic rate (per second),Concentration (M),Flux threshold,Number of angles
0,0.3,1e-06,0.001,117
1,0.3,1.2589254117941661e-06,0.001,116
2,0.3,1.584893192461111e-06,0.001,110
3,0.3,1.995262314968875e-06,0.001,119
4,0.3,2.5118864315095717e-06,0.001,129
5,0.3,3.1622776601683665e-06,0.001,124
6,0.3,3.981071705534953e-06,0.001,139
7,0.3,5.0118723362726945e-06,0.001,144
8,0.3,6.3095734448018915e-06,0.001,152
9,0.3,7.943282347242757e-06,0.001,146
10,0.3,9.999999999999918e-06,0.001,160
11,0.3,1.258925411794156e-05,0.001,165
12,0.3,1.584893192461098e-05,0.001,164
13,0.3,1.9952623149688583e-05,0.001,182
14,0.3,2.5118864315095514e-05,0.001,193
15,0.3,3.16227766016834e-05,0.001,199
16,0.3,3.981071705534921e-05,0.001,195
17,0.3,5.011872336272653e-05,0.001,215
18,0.3,6.30957344480184e-05,0.001,214
19,0.3,7.943282347242692e-05,0.001,234
20,0.3,9.999999999999836e-05,0.001,239
21,0.3,0.00012589254117941455,0.001,242
22,0.3,0.0001584893192461085,0.001,248
23,0.3,0.00019952623149688422,0.001,262
24,0.3,0.0002511886431509531,0.001,265
25,0.3,0.0003162277660168315,0.001,270
26,0.3,0.0003981071705534888,0.001,275
27,0.3,0.0005011872336272613,0.001,283
28,0.3,0.0006309573444801788,0.001,273
29,0.3,0.0007943282347242627,0.001,283
30,0.3,0.0009999999999999755,0.001,288
31,0.3,0.0012589254117941352,0.001,290
32,0.3,0.001584893192461072,0.001,291
33,0.3,0.0019952623149688256,0.001,284
34,0.3,0.00251188643150951,0.001,284
35,0.3,0.0031622776601682888,0.001,283
36,0.3,0.0039810717055348555,0.001,274
37,0.3,0.005011872336272571,0.001,262
38,0.3,0.006309573444801736,0.001,259
39,0.3,0.007943282347242562,0.001,244
40,0.3,0.009999999999999672,0.001,234
41,0.3,0.01258925411794125,0.001,239
42,0.3,0.01584893192461059,0.001,237
43,0.3,0.019952623149688094,0.001,228
44,0.3,0.025118864315094896,0.001,214
45,0.3,0.03162277660168263,0.001,217
46,0.3,0.03981071705534823,0.001,225
47,0.3,0.0501187233627253,0.001,206
48,0.3,0.06309573444801685,0.001,208
49,0.3,0.07943282347242496,0.001,205
50,0.3,0.09999999999999591,0.001,198
51,0.3,0.12589254117941148,0.001,202
52,0.3,0.1584893192461046,0.001,190
53,0.3,0.1995262314968793,0.001,194
54,0.3,0.2511886431509469,0.001,187
55,0.3,0.31622776601682373,0.001,189
56,0.3,0.398107170553479,0.001,185
57,0.3,0.5011872336272489,0.001,189
58,0.3,0.6309573444801633,0.001,187
59,0.3,0.7943282347242432,0.001,175
60,0.3,1e-06,0.01,15
61,0.3,1.2589254117941661e-06,0.01,19
62,0.3,1.584893192461111e-06,0.01,14
63,0.3,1.995262314968875e-06,0.01,23
64,0.3,2.5118864315095717e-06,0.01,19
65,0.3,3.1622776601683665e-06,0.01,18
66,0.3,3.981071705534953e-06,0.01,19
67,0.3,5.0118723362726945e-06,0.01,21
68,0.3,6.3095734448018915e-06,0.01,20
69,0.3,7.943282347242757e-06,0.01,23
70,0.3,9.999999999999918e-06,0.01,23
71,0.3,1.258925411794156e-05,0.01,29
72,0.3,1.584893192461098e-05,0.01,28
73,0.3,1.9952623149688583e-05,0.01,29
74,0.3,2.5118864315095514e-05,0.01,31
75,0.3,3.16227766016834e-05,0.01,35
76,0.3,3.981071705534921e-05,0.01,41
77,0.3,5.011872336272653e-05,0.01,44
78,0.3,6.30957344480184e-05,0.01,52
79,0.3,7.943282347242692e-05,0.01,54
80,0.3,9.999999999999836e-05,0.01,53
81,0.3,0.00012589254117941455,0.01,65
82,0.3,0.0001584893192461085,0.01,66
83,0.3,0.00019952623149688422,0.01,76
84,0.3,0.0002511886431509531,0.01,80
85,0.3,0.0003162277660168315,0.01,81
86,0.3,0.0003981071705534888,0.01,88
87,0.3,0.0005011872336272613,0.01,95
88,0.3,0.0006309573444801788,0.01,95
89,0.3,0.0007943282347242627,0.01,109
90,0.3,0.0009999999999999755,0.01,100
91,0.3,0.0012589254117941352,0.01,97
92,0.3,0.001584893192461072,0.01,100
93,0.3,0.0019952623149688256,0.01,99
94,0.3,0.00251188643150951,0.01,95
95,0.3,0.0031622776601682888,0.01,94
96,0.3,0.0039810717055348555,0.01,92
97,0.3,0.005011872336272571,0.01,84
98,0.3,0.006309573444801736,0.01,78
99,0.3,0.007943282347242562,0.01,78
100,0.3,0.009999999999999672,0.01,76
101,0.3,0.01258925411794125,0.01,73
102,0.3,0.01584893192461059,0.01,65
103,0.3,0.019952623149688094,0.01,57
104,0.3,0.025118864315094896,0.01,54
105,0.3,0.03162277660168263,0.01,60
106,0.3,0.03981071705534823,0.01,56
107,0.3,0.0501187233627253,0.01,55
108,0.3,0.06309573444801685,0.01,54
109,0.3,0.07943282347242496,0.01,56
110,0.3,0.09999999999999591,0.01,49
111,0.3,0.12589254117941148,0.01,56
112,0.3,0.1584893192461046,0.01,45
113,0.3,0.1995262314968793,0.01,54
114,0.3,0.2511886431509469,0.01,54
115,0.3,0.31622776601682373,0.01,46
116,0.3,0.398107170553479,0.01,50
117,0.3,0.5011872336272489,0.01,47
118,0.3,0.6309573444801633,0.01,42
119,0.3,0.7943282347242432,0.01,46
120,0.3,1e-06,0.1,0
121,0.3,1.2589254117941661e-06,0.1,0
122,0.3,1.584893192461111e-06,0.1,0
123,0.3,1.995262314968875e-06,0.1,1
124,0.3,2.5118864315095717e-06,0.1,0
125,0.3,3.1622776601683665e-06,0.1,0
126,0.3,3.981071705534953e-06,0.1,0
127,0.3,5.0118723362726945e-06,0.1,0
128,0.3,6.3095734448018915e-06,0.1,1
129,0.3,7.943282347242757e-06,0.1,0
130,0.3,9.999999999999918e-06,0.1,1
131,0.3,1.258925411794156e-05,0.1,1
132,0.3,1.584893192461098e-05,0.1,1
133,0.3,1.9952623149688583e-05,0.1,2
134,0.3,2.5118864315095514e-05,0.1,3
135,0.3,3.16227766016834e-05,0.1,3
136,0.3,3.981071705534921e-05,0.1,3
137,0.3,5.011872336272653e-05,0.1,3
138,0.3,6.30957344480184e-05,0.1,4
139,0.3,7.943282347242692e-05,0.1,5
140,0.3,9.999999999999836e-05,0.1,6
141,0.3,0.00012589254117941455,0.1,8
142,0.3,0.0001584893192461085,0.1,9
143,0.3,0.00019952623149688422,0.1,9
144,0.3,0.0002511886431509531,0.1,10
145,0.3,0.0003162277660168315,0.1,13
146,0.3,0.0003981071705534888,0.1,14
147,0.3,0.0005011872336272613,0.1,14
148,0.3,0.0006309573444801788,0.1,16
149,0.3,0.0007943282347242627,0.1,15
150,0.3,0.0009999999999999755,0.1,15
151,0.3,0.0012589254117941352,0.1,16
152,0.3,0.001584893192461072,0.1,14
153,0.3,0.0019952623149688256,0.1,15
154,0.3,0.00251188643150951,0.1,12
155,0.3,0.0031622776601682888,0.1,10
156,0.3,0.0039810717055348555,0.1,11
157,0.3,0.005011872336272571,0.1,10
158,0.3,0.006309573444801736,0.1,8
159,0.3,0.007943282347242562,0.1,7
160,0.3,0.009999999999999672,0.1,8
161,0.3,0.01258925411794125,0.1,7
162,0.3,0.01584893192461059,0.1,6
163,0.3,0.019952623149688094,0.1,6
164,0.3,0.025118864315094896,0.1,5
165,0.3,0.03162277660168263,0.1,6
166,0.3,0.03981071705534823,0.1,5
167,0.3,0.0501187233627253,0.1,5
168,0.3,0.06309573444801685,0.1,6
169,0.3,0.07943282347242496,0.1,5
170,0.3,0.09999999999999591,0.1,5
171,0.3,0.12589254117941148,0.1,5
172,0.3,0.1584893192461046,0.1,4
173,0.3,0.1995262314968793,0.1,4
174,0.3,0.2511886431509469,0.1,4
175,0.3,0.31622776601682373,0.1,3
176,0.3,0.398107170553479,0.1,2
177,0.3,0.5011872336272489,0.1,1
178,0.3,0.6309573444801633,0.1,2
179,0.3,0.7943282347242432,0.1,2
180,0.3,1e-06,1.0,0
181,0.3,1.2589254117941661e-06,1.0,0
182,0.3,1.584893192461111e-06,1.0,0
183,0.3,1.995262314968875e-06,1.0,0
184,0.3,2.5118864315095717e-06,1.0,0
185,0.3,3.1622776601683665e-06,1.0,0
186,0.3,3.981071705534953e-06,1.0,0
187,0.3,5.0118723362726945e-06,1.0,0
188,0.3,6.3095734448018915e-06,1.0,0
189,0.3,7.943282347242757e-06,1.0,0
190,0.3,9.999999999999918e-06,1.0,0
191,0.3,1.258925411794156e-05,1.0,0
192,0.3,1.584893192461098e-05,1.0,0
193,0.3,1.9952623149688583e-05,1.0,0
194,0.3,2.5118864315095514e-05,1.0,0
195,0.3,3.16227766016834e-05,1.0,0
196,0.3,3.981071705534921e-05,1.0,0
197,0.3,5.011872336272653e-05,1.0,0
198,0.3,6.30957344480184e-05,1.0,0
199,0.3,7.943282347242692e-05,1.0,0
200,0.3,9.999999999999836e-05,1.0,0
201,0.3,0.00012589254117941455,1.0,1
202,0.3,0.0001584893192461085,1.0,1
203,0.3,0.00019952623149688422,1.0,1
204,0.3,0.0002511886431509531,1.0,1
205,0.3,0.0003162277660168315,1.0,1
206,0.3,0.0003981071705534888,1.0,1
207,0.3,0.0005011872336272613,1.0,2
208,0.3,0.0006309573444801788,1.0,2
209,0.3,0.0007943282347242627,1.0,2
210,0.3,0.0009999999999999755,1.0,2
211,0.3,0.0012589254117941352,1.0,2
212,0.3,0.001584893192461072,1.0,1
213,0.3,0.0019952623149688256,1.0,1
214,0.3,0.00251188643150951,1.0,2
215,0.3,0.0031622776601682888,1.0,2
216,0.3,0.0039810717055348555,1.0,2
217,0.3,0.005011872336272571,1.0,2
218,0.3,0.006309573444801736,1.0,2
219,0.3,0.007943282347242562,1.0,1
220,0.3,0.009999999999999672,1.0,1
221,0.3,0.01258925411794125,1.0,1
222,0.3,0.01584893192461059,1.0,1
223,0.3,0.019952623149688094,1.0,0
224,0.3,0.025118864315094896,1.0,0
225,0.3,0.03162277660168263,1.0,0
226,0.3,0.03981071705534823,1.0,0
227,0.3,0.0501187233627253,1.0,0
228,0.3,0.06309573444801685,1.0,0
229,0.3,0.07943282347242496,1.0,0
230,0.3,0.09999999999999591,1.0,0
231,0.3,0.12589254117941148,1.0,0
232,0.3,0.1584893192461046,1.0,0
233,0.3,0.1995262314968793,1.0,0
234,0.3,0.2511886431509469,1.0,0
235,0.3,0.31622776601682373,1.0,0
236,0.3,0.398107170553479,1.0,0
237,0.3,0.5011872336272489,1.0,0
238,0.3,0.6309573444801633,1.0,0
239,0.3,0.7943282347242432,1.0,0
